EnvVar,ValueType,Description,DefaultValue,Pattern
PROTON_USE_SECCOMP,switch,Enables seccomp-based syscall sandboxing for Proton processes\n\nDisable (set 0) if game crashes immediately on launch,,
WINEDEBUG,string,"Wine debug channel configuration — comma-separated channel:level pairs\n\ne.g. WINEDEBUG=-all,+openxr — use vrclient for VRChat-specific Wine logs",-all,"^([+-]?[a-zA-Z_*]+(?:,[+-]?[a-zA-Z_*]+)*)$"
WINEDLLOVERRIDES,string,Wine DLL override map in format dllname=type (n=native b=builtin)\n\nSeparate multiple with semicolons. iyuv_32= fixes video codec issues in VRChat,iyuv_32=,"^([A-Za-z0-9_*.]+=[nNbB,]*)(;[A-Za-z0-9_*.]+=[nNbB,]*)*$"
WINEPREFIX,string,Overrides the Wine prefix directory path for this game session\n\nUsually not needed — Steam sets this automatically for Proton games,/run/media/system/Data/Games/Steam/steamapps/compatdata/438100/pfx,^/.+$
WINE_SIMULATE_WRITECOPY,switch,Simulates page write-copy protection — fixes certain game initialization errors\n\nSource: ProtonPlus,,
WINE_VK_USE_SYNC2,switch,Enables Vulkan synchronization 2 extension in Wine/Proton Vulkan layer\n\nSource: ProtonPlus,,
WINE_SYNC_USE_FUTEX_WAITV,switch,Enables futex_waitv kernel syscall for synchronization — reduces CPU overhead\n\nSource: ProtonPlus,,
PULSE_LATENCY_MSEC,int,Sets PulseAudio latency target in milliseconds\n\nSource: ProtonPlus; lower = less latency but more risk of audio glitches,60,"^\d{1,3}$"
WINEALSA_CHANNELS,int,Sets Wine ALSA output channel count\n\nSource: ProtonPlus; requires Proton 11-1 or newer,2,^[1-8]$
WINEALSA_SPACIAL,switch,Enables Wine ALSA spatial downmix for 4/6/8 channel configurations\n\nSource: ProtonPlus; requires 4+ output channels via WINEALSA_CHANNELS,,
PRESSURE_VESSEL_IMPORT_OPENXR_1_RUNTIMES,switch,Exposes host machine OpenXR runtime JSON files inside the Steam container\n\nSource: community; needed for WiVRn/Monado/other host OpenXR runtimes,,
PRESSURE_VESSEL_FILESYSTEMS_RW,string,Grants read-write access to specific host paths inside the pressure-vessel container\n\nColon-separated absolute paths. e.g. /var/lib/flatpak/app/io.github.wivrn.wivrn,,^(/.+)(:.+)*$
DRI_PRIME,switch,Forces the game to run on the AMD discrete GPU on hybrid graphics systems\n\nSource: ProtonPlus; set to 1 to use dGPU,,
AMD_ICD,string,Chooses the AMD Vulkan ICD — RADV (Mesa) or AMDVLK (AMD official)\n\nSource: ProtonPlus; RADV is generally preferred for gaming,RADV,^(RADV|AMDVLK)$
STAGING_SHARED_MEMORY,switch,Enables AMD driver shared memory staging support — improves VRAM bandwidth\n\nSource: ProtonPlus; AMD only,,
mesa_glthread,string,Controls Mesa GL threading — improves multi-threaded OpenGL performance\n\nSource: ProtonPlus; lowercase var name,true,^(true|false)$
MESA_SHADER_CACHE_DISABLE,switch,"Controls Mesa's on-disk shader cache — set 0 to enable / 1 to disable\n\nSource: ProtonPlus; 0=cache enabled (default), 1=disabled",0,^[01]$
ENABLE_LAYER_MESA_ANTI_LAG,switch,Enables Mesa Anti-Lag to reduce input latency on supported AMD setups\n\nSource: ProtonPlus; AMD Mesa only,,
RADV_PERFTEST,string,"Enables experimental RADV features: comma-separated flags (rt,sam,nggc,gpl,ruse,emulate_rt)\n\nSource: ProtonPlus. rt=ray tracing,sam=Resizable BAR,nggc=NGG culling,gpl=GPL shaders,ruse=userspace queue,emulate_rt=SW ray tracing",,"^(rt|sam|nggc|gpl|ruse|emulate_rt)(,(rt|sam|nggc|gpl|ruse|emulate_rt))*$"
RADV_DEBUG,string,"Enables RADV debug/workaround flags: comma-separated (nocng,noabin,nobg,nodcc,novrs,nogpl,noexecbuf2,precompile,noatc)\n\nSource: ProtonPlus. nocng=no NGG,nodcc=no DCC,novrs=no VRS,precompile=precompile shaders,noatc=fixes APU texture issues",,"^([a-z0-9]+)(,[a-z0-9]+)*$"
ACO_DEBUG,string,"Enables AMD ACO shader compiler debug flags: comma-separated (validate,nofpgather,perfinfo,force-isel,nosched,nowave32)\n\nSource: ProtonPlus; AMD ACO compiler only",,"^([a-z0-9\-]+)(,[a-z0-9\-]+)*$"
DXIL_SPIRV_CONFIG,string,Configures DXIL-SPIR-V translation behavior — e.g. RDNA3 MLFG workaround\n\nSource: ProtonPlus; e.g. wmma_rdna3_workaround for RDNA3 MLFG,,"^[a-z0-9_]+(=[a-z0-9_]+)?(,[a-z0-9_]+(=[a-z0-9_]+)?)*$"
LOW_LATENCY_LAYER,switch,Enables Proton-CachyOS low-latency Vulkan layer with VK_AMD_anti_lag exposure\n\nSource: ProtonPlus; requires compatible game and CachyOS build,,
LOW_LATENCY_LAYER_REFLEX,switch,Switches CachyOS low-latency layer from Anti-Lag to VK_NV_low_latency2 (NVIDIA Reflex)\n\nSource: ProtonPlus; requires LOW_LATENCY_LAYER and game Reflex support,,
LOW_LATENCY_LAYER_SPOOF_NVIDIA,switch,Makes the low-latency Vulkan layer report an NVIDIA GPU — last-resort Reflex workaround\n\nSource: ProtonPlus; can break FSR 4 — use only when all else fails,,
DXVK_NVAPI_ALLOW_OTHER_DRIVERS,switch,Allows DXVK-NVAPI on non-NVIDIA drivers — least-invasive AMD Reflex compatibility preset\n\nSource: ProtonPlus,,
DXVK_NVAPI_VKREFLEX,switch,Enables CachyOS NVIDIA Reflex Vulkan layer for native Vulkan games\n\nSource: ProtonPlus; requires NVIDIA and compatible CachyOS build,,
DXVK_CONFIG,string,Configures DXVK behavior — e.g. dxgi.hideAmdGpu=True to hide AMD GPU\n\nSource: ProtonPlus; e.g. dxgi.hideAmdGpu=True for Reflex GPU spoof,,^[a-zA-Z.]+=[A-Za-z0-9_]+$
DXVK_NVAPI,switch,Enables DXVK-NVAPI. Use PROTON_ENABLE_NVAPI instead when using Proton\n\nStandalone DXVK installations,,
DXVK_HUD,string,"Shows DXVK Vulkan overlay with GPU/frame timing stats\n\nCombine with commas: DXVK_HUD=fps,gpus,memory — useful for performance profiling",0,"^(0|1|(fps|gpus|compiler|memory|frametimes|full)(,(fps|gpus|compiler|memory|frametimes|full))*)$"
DXVK_ASYNC,switch,Enables asynchronous shader compilation in DXVK to reduce stutter\n\nSource: ProtonPlus; may cause visual artifacts during shader warmup — requires patched DXVK,,
DXVK_FRAME_RATE,int,Caps DXVK frame rate to specified value (frames per second — 0=uncapped)\n\nSource: ProtonPlus; overrides in-game frame limiter via Vulkan layer,0,^\d+$
DXVK_LOG_LEVEL,string,"Controls DXVK logging verbosity\n\nSource: ProtonPlus. none=silent,error=critical only,debug=verbose",none,^(none|error|warn|info|debug)$
DXVK_STATE_CACHE,switch,Enables DXVK pipeline state cache for faster shader reuse between sessions\n\nDisable if you have persistent shader bugs after game updates,,
VKD3D_CONFIG,string,"Configures VKD3D-Proton behavior — comma-separated flags (shader_cache,force_host_cache,upload_hvv,no_upload_hvv,nodxr,dxr11,dxr10,gpuva,stable_power_state,...)\n\nSource: ProtonPlus. nodxr=disable RT,dxr11=enable RT,shader_cache=disk cache,upload_hvv=ReBAR staging,gpuva=GPU VA",,"^[a-z_]+(,[a-z_]+)*$"
VKD3D_LOG_LEVEL,string,"Controls VKD3D logging verbosity\n\nSource: ProtonPlus. none=muted,err=critical,warn=warnings,fixme=missing features,info=general,trace=verbose",,^(none|err|warn|fixme|info|trace)$
VKD3D_SHADER_CACHE,switch,Enables VKD3D-Proton internal on-disk shader cache to reduce stuttering\n\nSource: ProtonPlus,,
VKD3D_GPUVA,switch,Enables GPU Virtual Addressing in VKD3D-Proton — helps open-world games with D3D12 memory\n\nSource: ProtonPlus,,
SCB_AUTO_VRR,switch,ScopeBuddy: Enables automatic Variable Refresh Rate matching to game FPS\n\nSource: ProtonPlus; requires ScopeBuddy wrapper,,
MANGOHUD,switch,Enables MangoHUD performance overlay (Vulkan env mode — see also gamemoderun wrapper)\n\nSource: ProtonPlus; install mangohud separately; use MANGOHUD=1,,
MANGOHUD_CONFIG,string,"Configures MangoHUD overlay display options (comma-separated)\n\ne.g. fps,gpu_stats,cpu_stats,ram",,"^[a-z_]+(=[^,]*)?(,[a-z_]+(=[^,]*)?)*$"
ENABLE_VKBASALT,switch,Enables vkBasalt post-processing layer (sharpening/color grading) on top of VRChat\n\nInstall vkbasalt; configure via /etc/vkBasalt.conf or VKBASALT_CONFIG_FILE,,
VK_ICD_FILENAMES,string,Specifies path to specific Vulkan ICD driver JSON file (overrides default GPU)\n\ne.g. /usr/share/vulkan/icd.d/nvidia_icd.json — use to force specific GPU,,^/.+\.json(:.+\.json)*$
VK_DRIVER_FILES,string,Alternative to VK_ICD_FILENAMES — specifies Vulkan driver JSON files\n\ne.g. /usr/share/vulkan/icd.d/radeon_icd.x86_64.json,,^/.+\.json(:.+\.json)*$
MESA_VK_WSI_PRESENT_MODE,string,"Overrides Vulkan window surface present mode (vsync behavior)\n\nmailbox=low-latency,immediate=no-vsync,fifo=vsync",,^(mailbox|immediate|fifo|fifo_relaxed)$
PROTON_AVPRO_ENABLE,switch,Enables AVPro video player compatibility layer in Proton (fixes VRChat video players / MPEG-TS / HLS / RTSP streams in Proton-GE-RTSP / custom builds),1,^[01]$
PROTON_USE_MEDIA_FOUNDATION,switch,Enables Wine Windows Media Foundation (WMF) implementation for Unity AVPro video playback,1,^[01]$
WINE_AVPRO_ENABLE,switch,Enables Wine AVPro video player decoding layer for media playback in VRChat,1,^[01]$
